state	Year	tax_state	cost_per_pack	tax_percent	tax_revenue	tax_dollar	sales_per_capita	index	price_cpi
Alabama	1970	0.12	0.427	46.8	36739131	0.2	89.8	38.825	2.529555698647778
Alabama	1971	0.12	0.423	47.3	39490694	0.2	95.4	40.49166666666667	2.4027166083556284
Alabama	1972	0.12	0.421	47.5	42198422	0.2	101.1	41.81666666666666	2.3155838979673176
Alabama	1973	0.12	0.431	46.4	43328876	0.2	102.9	44.4	2.232657657657658
Alabama	1974	0.12	0.466	42.9	45943402	0.2	108.2	49.30833333333334	2.1736690890654047
Alabama	1975	0.12	0.504	39.7	47956285	0.2	111.7	53.81666666666667	2.153979560235367
Alabama	1976	0.12	0.501	39.9	50409197	0.2	116.2	56.90833333333333	2.024835261385269
Alabama	1977	0.12	0.551	36.3	51516608	0.2	117.1	60.608333333333334	2.090966588752922
Alabama	1978	0.12	0.568	35.2	54460929	0.2	123	65.23333333333333	2.0026571282575367
Alabama	1979	0.12	0.606	33.3	54496057	0.2	121.4	72.575	1.9204960385807783
Alabama	1980	0.12	0.688	34.9	55701205	0.24	123.2	82.40833333333333	1.9201941551218524
Alabama	1981	0.16	0.731	32.8	72852874	0.24	119.6	90.925	1.8491064063788836
Alabama	1982	0.16	0.844	38.4	74641962	0.24	119.1	96.5	2.0116062176165803
Alabama	1983	0.16	0.908	35.2	73371489	0.32	116.3	99.6	2.0967871485943776
Alabama	1984	0.16	0.99	32.8	72144256	0.325	113	103.88333333333333	2.1918819188191883
Alabama	1985	0.165	1.03	31.6	76693928	0.325	114.5	107.56666666666666	2.2023551286024174
Alabama	1986	0.165	1.1	29.6	77175083	0.325	116.3	109.60833333333333	2.308218657340531
Alabama	1987	0.165	1.144	28.5	77097672	0.325	114	113.625	2.3156875687568754
Alabama	1988	0.165	1.223	26.6	76529290	0.325	112.1	118.25833333333333	2.3786061588330636
Alabama	1989	0.165	1.391	23.4	74959156	0.325	105.6	123.96666666666667	2.5807744017208925
Alabama	1990	0.165	1.444	22.5	74656216	0.325	108.6	130.65833333333333	2.541896804643153
Alabama	1991	0.165	1.722	21.2	73585654	0.365	107.9	136.19166666666666	2.9081074466132293
Alabama	1992	0.165	1.762	20.7	73149118	0.365	109.1	140.31666666666666	2.888181494239221
Alabama	1993	0.165	1.546	26.2	72619924	0.405	108.5	144.45833333333334	2.4614710124026535
Alabama	1994	0.165	1.551	26.1	72324900	0.405	107.1	148.225	2.406679035250464
